Designator,Mid X,Mid Y,Rotation,Layer
R26,129.0828,-151.534743,0.0,top
R27_2,161.3916,-54.2544,90.0,top
R27,131.7244,-150.620343,270.0,top
R28_2,153.3652,-54.102,0.0,top
R28,139.7508,-150.772743,180.0,top
R29_2,153.3652,-55.8292,0.0,top
R29,139.7508,-149.045543,180.0,top
R3_2,131.318,-55.0188,270.0,top
R3,161.798,-149.855943,90.0,top
R30_2,149.352,-59.6392,270.0,top
R30,143.764,-145.235543,90.0,top
R31_2,123.9012,-53.7464,180.0,top
R31,169.2148,-151.128343,0.0,top
R32_2,112.014,-54.6608,270.0,top
R32,181.102,-150.213943,90.0,top
R33_2,126.238,-59.2328,90.0,top
R33,166.878,-145.641943,270.0,top
R34_2,129.1336,-97.4344,180.0,top
R34,163.9824,-107.440343,0.0,top
R35_2,148.7443,-97.4852,0.0,top
R35,144.3717,-107.389543,180.0,top
R36_2,140.3096,-97.4852,0.0,top
R36,152.8064,-107.389543,180.0,top
R37_2,106.8832,-90.4748,180.0,top
R37,186.2328,-114.399943,0.0,top
R38_2,127.8128,-59.2328,90.0,top
R38,165.3032,-145.641943,270.0,top
R39_2,117.4496,-80.8342,270.0,top
R39,175.6664,-124.040543,90.0,top
R4_2,140.5128,-57.4548,270.0,top
R4,152.6032,-147.419943,90.0,top
R40_2,120.7516,-84.2264,270.0,top
R40,172.3644,-120.648343,90.0,top
R41_2,119.126,-84.2264,90.0,top
R41,173.99,-120.648343,270.0,top
R42_2,107.9011,-70.2056,180.0,top
R42,185.2149,-134.669143,0.0,top
R43_2,107.9011,-68.6816,180.0,top
R43,185.2149,-136.193143,0.0,top
R44_2,107.8992,-67.1576,180.0,top
R44,185.2168,-137.717143,0.0,top
R45_2,107.8973,-65.6336,180.0,top
R45,185.2187,-139.241143,0.0,top
R46_2,105.0544,-88.9,180.0,top
R46,188.0616,-115.974743,0.0,top
R47_2,109.4232,-92.1004,270.0,top
R47,183.6928,-112.774343,90.0,top
R48_2,162.74445,-77.2668,0.0,top
R48,130.37155,-127.607943,180.0,top
R49_2,142.748,-67.056,0.0,top
R49,150.368,-137.818743,180.0,top
R5_2,138.938,-57.4548,270.0,top
R5,154.178,-147.419943,90.0,top
R50_2,142.748,-65.4812,0.0,top
R50,150.368,-139.393543,180.0,top
R51_2,142.748,-63.9064,0.0,top
R51,150.368,-140.968343,180.0,top
R52_2,142.748,-62.3316,0.0,top
R52,150.368,-142.543143,180.0,top
R6_2,134.7724,-57.4548,270.0,top
R6,158.3436,-147.419943,90.0,top
R7_2,135.7376,-85.5726,0.0,top
R7,157.3784,-119.302143,180.0,top
R8_2,140.3096,-95.8596,180.0,top
R8,152.8064,-109.015143,0.0,top
R9_2,132.9436,-57.4548,270.0,top
R9,160.1724,-147.419943,90.0,top
RV1_2,136.8044,-54.1552,180.0,top
RV1,156.3116,-150.719543,0.0,top
RV2_2,117.5004,-53.7488,180.0,top
RV2,175.6156,-151.125943,0.0,top
SW2_2,113.3856,-58.42,90.0,top
SW2,179.7304,-146.454743,270.0,top
SW3_2,144.4358,-86.8934,270.0,top
SW3,148.6802,-117.981343,90.0,top
U1_2,116.84,-84.3788,90.0,top
U1,176.276,-120.495943,270.0,top
U13_2,157.734,-65.9384,90.0,top
U13,135.382,-138.936343,270.0,top
U14_2,165.9028,-66.6369,180.0,top
U14,127.2132,-138.237843,0.0,top
U15_2,170.4848,-83.0961,180.0,top
U15,122.6312,-121.778643,0.0,top
U16_2,157.5943,-82.4484,90.0,top
U16,135.5217,-122.426343,270.0,top
U2_2,121.9031,-70.0092,270.0,top
U2,171.2129,-134.865543,90.0,top
U3_2,135.2804,-66.1289,270.0,top
U3,157.8356,-138.745843,90.0,top
U4_2,175.9458,-62.4354,90.0,top
U4,117.1702,-142.439343,270.0,top
U5_2,156.972,-54.9656,270.0,top
U5,136.144,-149.909143,90.0,top
