Designator,Mid X,Mid Y,Rotation,Layer
C31,167.4368,-141.171543,270.0,top
C4_2,136.846,-57.4504,90.0,top
C4,156.2608,-147.419943,270.0,top
C5_2,116.6276,-56.282,180.0,top
C5,176.4792,-148.588343,0.0,top
C6_2,159.6552,-54.25,270.0,top
C6,133.4516,-150.620343,90.0,top
C7_2,141.8244,-70.0996,270.0,top
C7,151.2824,-134.770743,90.0,top
C8_2,131.3088,-58.4156,270.0,top
C8,161.798,-146.454743,90.0,top
C9_2,120.7424,-87.7272,270.0,top
C9,172.3644,-117.143143,90.0,top
D1_2,103.431,-70.2012,0.0,top
D1,189.6758,-134.669143,180.0,top
D10_2,111.1277,-89.2004,180.0,top
D10,181.9791,-115.669943,0.0,top
D11_2,113.6304,-83.3076,90.0,top
D11,179.4764,-121.562743,270.0,top
D12_2,103.3688,-92.2992,0.0,top
D12,189.738,-112.571143,180.0,top
D13_2,103.3688,-94.1788,0.0,top
D13,189.738,-110.691543,180.0,top
D14_2,166.49445,-77.2624,180.0,top
D14,126.61235,-127.607943,0.0,top
D15_2,147.0568,-59.7872,270.0,top
D15,146.05,-145.083143,90.0,top
D16_2,145.4312,-59.7872,270.0,top
D16,147.6756,-145.083143,90.0,top
D17_2,143.8056,-59.7872,270.0,top
D17,149.3012,-145.083143,90.0,top
D18_2,142.18,-59.7872,270.0,top
D18,150.9268,-145.083143,90.0,top
D2_2,127.8036,-55.8248,270.0,top
D2,165.3032,-149.045543,90.0,top
D3_2,129.0736,-99.0556,180.0,top
D3,164.0332,-105.814743,0.0,top
D4_2,148.7332,-99.1064,0.0,top
D4,144.3736,-105.763943,180.0,top
D5_2,140.3004,-99.0556,0.0,top
D5,152.8064,-105.814743,180.0,top
D6_2,103.3688,-90.4704,0.0,top
D6,189.738,-114.399943,180.0,top
D7_2,103.4704,-67.458,0.0,top
D7,189.6364,-137.412343,180.0,top
D8_2,103.4704,-64.7148,0.0,top
D8,189.6364,-140.155543,180.0,top
D9_2,103.5212,-61.9716,0.0,top
D9,189.5856,-142.898743,180.0,top
IC1_2,124.3492,-83.5108,270.0,top
IC1,168.7576,-121.359543,90.0,top
IC2_2,139.6634,-78.3182,90.0,top
IC2,153.4434,-126.552143,270.0,top
IC3_2,149.8508,-64.6132,270.0,top
IC3,143.256,-140.257143,90.0,top
J1_2,119.3616,-92.583,0.0,bottom
J1,173.7452,-112.287343,180.0,bottom
J10_2,149.6276,-92.583,0.0,bottom
J10,143.4792,-112.287343,180.0,bottom
J11_2,141.2456,-92.583,0.0,bottom
J11,151.8612,-112.287343,180.0,bottom
J2_2,132.8744,-92.583,0.0,bottom
J2,160.2324,-112.287343,180.0,bottom
J3_2,111.086,-86.662,90.0,bottom
J3,182.0208,-118.208343,270.0,bottom
J4_2,194.9216,-69.998,270.0,top
J4,98.1852,-134.872343,90.0,top
J5_2,162.2206,-105.656,180.0,top
J5,130.8862,-99.214343,0.0,top
J7_2,175.3016,-105.638,180.0,top
J7,117.8052,-99.232343,0.0,top
J8_2,187.2396,-93.446,180.0,top
J8,105.8672,-111.424343,0.0,top
J9_2,116.018,-62.9368,270.0,top
J9,177.0888,-141.933543,90.0,top
JP2_2,105.4516,-74.57,90.0,top
JP2,187.6552,-130.300343,270.0,top
JP3_2,103.8768,-74.57,90.0,top
JP3,189.23,-130.300343,270.0,top
JP4_2,107.0264,-74.57,90.0,top
JP4,186.0804,-130.300343,270.0,top
JP5_2,108.6012,-74.57,90.0,top
JP5,184.5056,-130.300343,270.0,top
L1_2,115.8656,-80.8298,90.0,top
L1,177.2412,-124.040543,270.0,top
R1_2,148.7332,-95.8552,180.0,top
R1,144.3736,-109.015143,0.0,top
R10_2,124.2476,-90.6736,0.0,top
R10,168.8592,-114.196743,180.0,top
R11_2,139.2336,-87.27,0.0,top
R11,153.8732,-117.600343,180.0,top
R12_2,133.4424,-82.1392,90.0,top
R12,159.6644,-122.731143,270.0,top
R13_2,135.576,-80.666,270.0,bottom
R13,157.5308,-124.204343,90.0,bottom
R14_2,150.2826,-86.254,180.0,top
R14,142.8242,-118.616343,0.0,top
R15_2,139.2336,-85.619,0.0,top
R15,153.8732,-119.251343,180.0,top
R16_2,118.6596,-62.5812,270.0,top
R16,174.4472,-142.289143,90.0,top
R17_2,150.9176,-59.6348,270.0,top
R17,142.1892,-145.235543,90.0,top
R18_2,147.006,-75.84,0.0,top
R18,146.1008,-129.030343,180.0,top
R19_2,147.0314,-73.046,0.0,top
R19,146.0754,-131.824343,180.0,top
R2_2,143.196,-53.8436,180.0,top
R2,149.9108,-151.026743,0.0,top
R20_2,150.0794,-73.5032,90.0,bottom
R20,143.0274,-131.367143,270.0,bottom
R21_2,149.0634,-71.0902,0.0,top
R21,144.0434,-133.780143,180.0,top
R22_2,150.0794,-82.2662,270.0,bottom
R22,143.0274,-122.604143,90.0,bottom
R23_2,146.9044,-83.9172,180.0,top
R23,146.2024,-120.953143,0.0,top
R24_2,146.9044,-80.2342,0.0,top
R24,146.2024,-124.636143,180.0,top
R25_2,146.9044,-82.2662,0.0,top
R25,146.2024,-122.604143,180.0,top
R26_2,164.024,-53.3356,180.0,top
R26,129.0828,-151.534743,0.0,top
R27_2,161.3824,-54.25,90.0,top
R27,131.7244,-150.620343,270.0,top
R28_2,153.356,-54.0976,0.0,top
R28,139.7508,-150.772743,180.0,top
R29_2,153.356,-55.8248,0.0,top
R29,139.7508,-149.045543,180.0,top
R3_2,131.3088,-55.0144,270.0,top
R3,161.798,-149.855943,90.0,top
R30_2,149.3428,-59.6348,270.0,top
R30,143.764,-145.235543,90.0,top
R31_2,123.892,-53.742,180.0,top
R31,169.2148,-151.128343,0.0,top
R32_2,112.0048,-54.6564,270.0,top
R32,181.102,-150.213943,90.0,top
R33_2,126.2288,-59.2284,90.0,top
R33,166.878,-145.641943,270.0,top
R34_2,129.1244,-97.43,180.0,top
R34,163.9824,-107.440343,0.0,top
R35_2,148.7351,-97.4808,0.0,top
R35,144.3717,-107.389543,180.0,top
R36_2,140.3004,-97.4808,0.0,top
R36,152.8064,-107.389543,180.0,top
R37_2,106.874,-90.4704,180.0,top
R37,186.2328,-114.399943,0.0,top
R38_2,127.8036,-59.2284,90.0,top
R38,165.3032,-145.641943,270.0,top
R39_2,117.4404,-80.8298,270.0,top
R39,175.6664,-124.040543,90.0,top
R4_2,140.5036,-57.4504,270.0,top
R4,152.6032,-147.419943,90.0,top
R40_2,120.7424,-84.222,270.0,top
R40,172.3644,-120.648343,90.0,top
R41_2,119.1168,-84.222,90.0,top
R41,173.99,-120.648343,270.0,top
R42_2,107.8919,-70.2012,180.0,top
R42,185.2149,-134.669143,0.0,top
R43_2,107.8919,-68.6772,180.0,top
R43,185.2149,-136.193143,0.0,top
R44_2,107.89,-67.1532,180.0,top
R44,185.2168,-137.717143,0.0,top
R45_2,107.8881,-65.6292,180.0,top
R45,185.2187,-139.241143,0.0,top
R46_2,105.0452,-88.8956,180.0,top
R46,188.0616,-115.974743,0.0,top
R47_2,109.414,-92.096,270.0,top
R47,183.6928,-112.774343,90.0,top
R48_2,162.73525,-77.2624,0.0,top
R48,130.37155,-127.607943,180.0,top
R49_2,142.7388,-67.0516,0.0,top
R49,150.368,-137.818743,180.0,top
R5_2,138.9288,-57.4504,270.0,top
R5,154.178,-147.419943,90.0,top
R50_2,142.7388,-65.4768,0.0,top
R50,150.368,-139.393543,180.0,top
R51_2,142.7388,-63.902,0.0,top
R51,150.368,-140.968343,180.0,top
R52_2,142.7388,-62.3272,0.0,top
R52,150.368,-142.543143,180.0,top
R6_2,134.7632,-57.4504,270.0,top
R6,158.3436,-147.419943,90.0,top
R7_2,135.7284,-85.5682,0.0,top
R7,157.3784,-119.302143,180.0,top
R8_2,140.3004,-95.8552,180.0,top
R8,152.8064,-109.015143,0.0,top
R9_2,132.9344,-57.4504,270.0,top
R9,160.1724,-147.419943,90.0,top
RV1_2,136.7952,-54.1508,180.0,top
RV1,156.3116,-150.719543,0.0,top
RV2_2,117.4912,-53.7444,180.0,top
RV2,175.6156,-151.125943,0.0,top
SW2_2,113.3764,-58.4156,90.0,top
SW2,179.7304,-146.454743,270.0,top
SW3_2,144.4266,-86.889,270.0,top
SW3,148.6802,-117.981343,90.0,top
U1_2,116.8308,-84.3744,90.0,top
U1,176.276,-120.495943,270.0,top
U13_2,157.7248,-65.934,90.0,top
U13,135.382,-138.936343,270.0,top
U14_2,165.8936,-66.6325,180.0,top
U14,127.2132,-138.237843,0.0,top
U15_2,170.4756,-83.0917,180.0,top
U15,122.6312,-121.778643,0.0,top
U16_2,157.5851,-82.444,90.0,top
U16,135.5217,-122.426343,270.0,top
U2_2,121.8939,-70.0048,270.0,top
U2,171.2129,-134.865543,90.0,top
U3_2,135.2712,-66.1245,270.0,top
U3,157.8356,-138.745843,90.0,top
U4_2,175.9366,-62.431,90.0,top
U4,117.1702,-142.439343,270.0,top
U5_2,156.9628,-54.9612,270.0,top
U5,136.144,-149.909143,90.0,top
